Meeting,Dates,venue,city,state,country,Program Chair,Local Rep,co-society
1963,,,,,,,,
1964,,,,,,,,
1965,,,,,,,,
1966,,,,,,,,
1967,,,,,,,,
1968,,,,,,,,
1969,,,,,,,,
1970,,,,,,,,
1971,,,,,,,,
1972,,,,,,,,
1973,,,,,,,,
1974,,,,,,,,
1975,,,,,,,,
1976,,,,,,,,
1977,,,,,,,,
1978,,,,,,,,
1979,,,,,,,,
1980,,,,,,,,
1981,,,,,,,,
1982,,,,,,,,
1983,8-11 Aug,U. North Dakota, Fargo, ND,USA,Julie S. Denslow,,AIBS
1984,,,,,,,,
1985,,,,,,,,
1986,,,,,,,,
1987,9-13 Aug,Ohio State U., Columbus, OH,USA,Alwyn Gentry,,AIBS
???,14-18 Aug,U. California at Davis, Davis, CA,USA,Robin  Chazdon,Helen Young,AIBS
1988,5-12 June,U. Miami, Coral Gable, FL,USA,Doyle McKey (USA)/José Andrès Masis (CR),,OTS
1989,6-10 Aug,U. Toronto,Toronto,,Canada,Elizabeth Newell,Christopher Darling,AIBS
1991,4-8 Aug,San Antonio,, TX,USA,Rodolfo Dirzo,,AIBS
1992,9-13 Aug,Honolulu,, HI,USA,Chris Simon,,AIBS
1993,,,,,,,,
1994,7-11 June,U. Guadalajara, Guadalajara, MX ,Mexico,Eduardo Santana,,SCB
1995,7-9 Aug,,San Diego, CA,USA,Steve Bullock,Elizabeth Braker,AIBS
1996,11-15 August,,Providence, RI, USA,"Dr. Colian Orians, Department of Biology, Tufts University",,
1997,15-20 June,,San José,, Costa Rica,,,
1998,2-6 Aug,U. Maryland, Baltimore,, USA,,,AIBS
1999,,,St. Louis,Missouri, USA,,,
2000,23-27 June,,Bloomington, Indiana, USA,,,
2001,15-18 July,,Bangalore,, India,"Ganeshaiah, K. N., R. U. Shaanker, K. S. Bawa 2001",,ATREE
2002,29 July-2 Aug,,Panama city,, Panama,Joe Wright,,STRI
2003,7-10 July,,Aberdeen,, Scotland,"Michelle Pinard, David Burslem",,BES
2004,12-15 July,,Miami,, USA,"David Lee, Ted Fleming",,
2005,24-28 July,,Uberlandia,, Brazil,,,SBEt
2006,18-21 July,,Kunming,, China,Jin Chen,Hongmao Liu,XTBG & CAS
2007,15-19 July,,Morelia,, Mexico,"Mauricio Quesada Avendaño, Miguel Martinez Ramos",,CIEco & UNAM
2008,13-18 June,,Paramaribo,, Suriname,Pierre-Michel Forget,"Rudi van Kanten, Paul Ouboter",Anton de Kom Univ-CELOS 
2009,27-30 July,,Marburg,, Germany,"Gerhard Kost, Jörg Bendix",,GTOE 
2010,19-23 July,,Bali,, Indonesia,"Dedy Darnaedi , Campbell Webb",,LIPI
2011,12-16 June,,Arusha,, Tanzania,"Hassan Mshinda, Flora Ismail",Henry Ndangalasi,SCB Africa Section
2012,19-22 June,,Bonito,, Brazil,Lúcia G. Lohmann ,"Erich Fischer, José Sabino",ABECO
2013,23-27 June,,San José,, Costa Rica,Kaoru Kitagima,"John Kress, Carlos Garcia, Zach",OTS
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,